match_id,batting_team,total_runs
1,Delhi Capitals,59
1,Punjab Kings,46
2,Kolkata Knight Riders,32
2,Rajasthan Royals,62
3,Mumbai Indians,32
3,Rajasthan Royals,37
4,Chennai Super Kings,42
4,Sunrisers Hyderabad,57
5,Punjab Kings,63
5,Sunrisers Hyderabad,53
6,Kolkata Knight Riders,33
6,Rajasthan Royals,53
7,Punjab Kings,49
7,Royal Challengers Bangalore,50
8,Punjab Kings,44
8,Royal Challengers Bangalore,49
9,Delhi Capitals,54
9,Punjab Kings,64
10,Delhi Capitals,55
10,Royal Challengers Bangalore,64
11,Chennai Super Kings,45
11,Rajasthan Royals,51
12,Mumbai Indians,24
12,Punjab Kings,48
13,Kolkata Knight Riders,45
13,Royal Challengers Bangalore,42
14,Rajasthan Royals,71
14,Sunrisers Hyderabad,43
15,Chennai Super Kings,57
15,Kolkata Knight Riders,78
16,Delhi Capitals,49
16,Sunrisers Hyderabad,49
17,Chennai Super Kings,50
17,Sunrisers Hyderabad,49
18,Chennai Super Kings,42
18,Delhi Capitals,63
19,Punjab Kings,64
19,Sunrisers Hyderabad,62
20,Kolkata Knight Riders,58
20,Mumbai Indians,47
21,Delhi Capitals,48
21,Mumbai Indians,56
22,Kolkata Knight Riders,65
22,Punjab Kings,68
23,Chennai Super Kings,40
23,Royal Challengers Bangalore,45
24,Punjab Kings,55
24,Sunrisers Hyderabad,57
25,Delhi Capitals,46
25,Sunrisers Hyderabad,58
26,Chennai Super Kings,53
26,Mumbai Indians,48
27,Kolkata Knight Riders,51
27,Punjab Kings,50
28,Mumbai Indians,54
28,Sunrisers Hyderabad,49
29,Punjab Kings,67
29,Rajasthan Royals,44
30,Punjab Kings,40
30,Rajasthan Royals,51
31,Delhi Capitals,49
31,Kolkata Knight Riders,55
32,Chennai Super Kings,39
32,Delhi Capitals,64
33,Punjab Kings,43
33,Rajasthan Royals,52
34,Chennai Super Kings,52
34,Sunrisers Hyderabad,63
35,Mumbai Indians,30
35,Punjab Kings,64
36,Delhi Capitals,41
36,Royal Challengers Bangalore,61
37,Chennai Super Kings,34
37,Mumbai Indians,41
38,Chennai Super Kings,58
38,Punjab Kings,31
39,Chennai Super Kings,36
39,Sunrisers Hyderabad,32
40,Punjab Kings,29
40,Rajasthan Royals,44
41,Punjab Kings,46
41,Royal Challengers Bangalore,55
42,Chennai Super Kings,56
42,Mumbai Indians,81
43,Chennai Super Kings,37
43,Sunrisers Hyderabad,34
44,Punjab Kings,65
44,Rajasthan Royals,54
45,Chennai Super Kings,33
45,Punjab Kings,45
46,Delhi Capitals,55
46,Mumbai Indians,55
47,Punjab Kings,54
47,Rajasthan Royals,46
48,Kolkata Knight Riders,48
48,Rajasthan Royals,47
49,Chennai Super Kings,52
49,Delhi Capitals,50
50,Punjab Kings,50
50,Sunrisers Hyderabad,51
