match_id,season,date,city,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,player_of_match
1,2023,2023-03-31,Delhi,Arun Jaitley Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,bat,Delhi Capitals,normal,43,R Pant
2,2023,2023-04-01,Delhi,Arun Jaitley Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Rajasthan Royals,normal,43,Y Jaiswal
3,2023,2023-04-02,Mumbai,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,normal,25,Y Chahal
4,2023,2023-04-03,Chennai,MA Chidambaram Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,normal,13,A Markram
5,2023,2023-04-04,Kolkata,Eden Gardens,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Punjab Kings,normal,38,S Dhawan
6,2023,2023-04-05,Delhi,Arun Jaitley Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,normal,44,A Russell
7,2023,2023-04-06,Chennai,MA Chidambaram Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Royal Challengers Bangalore,normal,2,M Siraj
8,2023,2023-04-07,Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Royal Challengers Bangalore,normal,42,F du Plessis
9,2023,2023-04-08,Delhi,Arun Jaitley Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,field,Punjab Kings,normal,21,S Curran
10,2023,2023-04-09,Chennai,MA Chidambaram Stadium,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Delhi Capitals,normal,14,A Patel
11,2023,2023-04-10,Mumbai,Wankhede Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,normal,6,R Gaikwad
12,2023,2023-04-11,Hyderabad,Rajiv Gandhi International Stadium,Punjab Kings,Mumbai Indians,Punjab Kings,bat,Mumbai Indians,normal,11,I Kishan
13,2023,2023-04-12,Chennai,MA Chidambaram Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,normal,8,V Kohli
14,2023,2023-04-13,Kolkata,Eden Gardens,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,normal,31,Y Chahal
15,2023,2023-04-14,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,normal,28,A Russell
16,2023,2023-04-15,Bangalore,M.Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Delhi Capitals,normal,45,R Pant
17,2023,2023-04-16,Mumbai,Wankhede Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,normal,3,R Jadeja
18,2023,2023-04-17,Bangalore,M.Chinnaswamy Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,normal,45,R Jadeja
19,2023,2023-04-18,Chennai,MA Chidambaram Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Punjab Kings,normal,2,A Singh
20,2023,2023-04-19,Bangalore,M.Chinnaswamy Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,normal,32,S Narine
21,2023,2023-04-20,Delhi,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,normal,19,J Bumrah
22,2023,2023-04-21,Mumbai,Wankhede Stadium,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,normal,37,S Iyer
23,2023,2023-04-22,Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,normal,15,G Maxwell
24,2023,2023-04-23,Bangalore,M.Chinnaswamy Stadium,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,Punjab Kings,normal,8,L Livingstone
