match_id,batting_team,total_runs
1,Delhi Capitals,52
1,Punjab Kings,92
2,Kolkata Knight Riders,40
2,Rajasthan Royals,66
3,Mumbai Indians,62
3,Rajasthan Royals,73
4,Chennai Super Kings,63
4,Sunrisers Hyderabad,70
5,Punjab Kings,65
5,Sunrisers Hyderabad,69
6,Kolkata Knight Riders,67
6,Rajasthan Royals,68
7,Punjab Kings,62
7,Royal Challengers Bangalore,64
8,Punjab Kings,54
8,Royal Challengers Bangalore,42
9,Delhi Capitals,81
9,Punjab Kings,68
10,Delhi Capitals,64
10,Royal Challengers Bangalore,74
11,Chennai Super Kings,64
11,Rajasthan Royals,63
12,Mumbai Indians,55
12,Punjab Kings,70
13,Kolkata Knight Riders,70
13,Royal Challengers Bangalore,51
14,Rajasthan Royals,89
14,Sunrisers Hyderabad,66
15,Chennai Super Kings,71
15,Kolkata Knight Riders,80
16,Delhi Capitals,54
16,Sunrisers Hyderabad,81
17,Chennai Super Kings,58
17,Sunrisers Hyderabad,66
18,Chennai Super Kings,48
18,Delhi Capitals,48
19,Punjab Kings,75
19,Sunrisers Hyderabad,48
20,Kolkata Knight Riders,70
20,Mumbai Indians,63
21,Delhi Capitals,47
21,Mumbai Indians,70
22,Kolkata Knight Riders,46
22,Punjab Kings,54
23,Chennai Super Kings,67
23,Royal Challengers Bangalore,43
24,Punjab Kings,73
24,Sunrisers Hyderabad,60
25,Delhi Capitals,67
25,Sunrisers Hyderabad,75
26,Chennai Super Kings,63
26,Mumbai Indians,67
27,Kolkata Knight Riders,49
27,Punjab Kings,65
28,Mumbai Indians,52
28,Sunrisers Hyderabad,85
29,Punjab Kings,59
29,Rajasthan Royals,70
30,Punjab Kings,49
30,Rajasthan Royals,68
31,Delhi Capitals,32
31,Kolkata Knight Riders,54
32,Chennai Super Kings,67
32,Delhi Capitals,51
33,Punjab Kings,56
33,Rajasthan Royals,52
34,Chennai Super Kings,73
34,Sunrisers Hyderabad,66
35,Mumbai Indians,78
35,Punjab Kings,46
36,Delhi Capitals,55
36,Royal Challengers Bangalore,59
37,Chennai Super Kings,71
37,Mumbai Indians,61
38,Chennai Super Kings,72
38,Punjab Kings,56
39,Chennai Super Kings,51
39,Sunrisers Hyderabad,44
40,Punjab Kings,53
40,Rajasthan Royals,67
41,Punjab Kings,69
41,Royal Challengers Bangalore,65
42,Chennai Super Kings,70
42,Mumbai Indians,66
43,Chennai Super Kings,65
43,Sunrisers Hyderabad,45
44,Punjab Kings,59
44,Rajasthan Royals,58
45,Chennai Super Kings,51
45,Punjab Kings,52
46,Delhi Capitals,54
46,Mumbai Indians,47
47,Punjab Kings,44
47,Rajasthan Royals,30
48,Kolkata Knight Riders,52
48,Rajasthan Royals,66
49,Chennai Super Kings,66
49,Delhi Capitals,57
50,Punjab Kings,42
50,Sunrisers Hyderabad,61
